2020-12-30 16:57:37,775: 'a'
2020-12-30 16:57:38,879: 'b'
2020-12-30 16:57:39,217: 'c'
2020-12-30 16:57:49,257: Key.ctrl_l
2020-12-30 16:57:49,745: Key.ctrl_l
2020-12-30 16:57:49,766: '\x03'
2020-12-30 16:57:50,604: Key.ctrl_l
2020-12-30 16:57:50,719: '\x03'
2020-12-30 16:58:21,484: Key.shift
2020-12-30 16:58:21,698: 'K'
2020-12-30 16:58:21,967: 'e'
2020-12-30 16:58:22,003: 'y'
2020-12-30 16:58:22,536: 'l'
2020-12-30 16:58:23,100: Key.shift
2020-12-30 16:58:23,355: 'o'
2020-12-30 16:58:23,514: 'g'
2020-12-30 16:58:23,667: 'g'
2020-12-30 16:58:23,850: 'e'
2020-12-30 16:58:23,968: 'r'
2020-12-30 16:58:24,117: Key.enter
2020-12-30 16:58:31,253: Key.shift
2020-12-30 16:58:31,521: 'T'
2020-12-30 16:58:31,644: 'e'
2020-12-30 16:58:31,772: 's'
2020-12-30 16:58:31,917: 't'
2020-12-30 16:58:32,339: Key.shift_r
2020-12-30 16:58:32,702: Key.enter
2020-12-30 16:58:35,300: 'a'
2020-12-30 16:58:35,484: 'b'
2020-12-30 16:58:35,602: 'c'
2020-12-30 16:58:35,763: Key.space
2020-12-30 16:58:35,993: 'h'
2020-12-30 16:58:36,089: 'e'
2020-12-30 16:58:36,262: 'l'
2020-12-30 16:58:36,584: 'l'
2020-12-30 16:58:36,800: 'o'
2020-12-30 16:58:36,955: 'w'
2020-12-30 16:58:37,244: Key.backspace
2020-12-30 16:58:37,411: Key.space
2020-12-30 16:58:37,627: 'l'
2020-12-30 16:58:38,114: 'u'
2020-12-30 16:58:38,280: 'i'
2020-12-30 16:58:38,433: 's'
2020-12-30 16:58:38,798: Key.shift
2020-12-30 16:58:38,979: '!'
2020-12-30 16:58:39,354: Key.enter
2020-12-30 16:58:40,054: Key.ctrl_l
2020-12-30 16:58:40,284: '\x13'
2020-12-30 16:58:44,685: Key.ctrl_l
2020-12-30 16:58:44,917: '\x03'
